SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,08-Jul-12,07-Jul-13,9,1202,450000,13914.23,5000019205,1990,1,137.7,Truck,12500,SCANIA,General Cartage,
0,08-Jul-11,07-Jul-12,9,1202,450000,13341.078,5000019205,1990,1,137.7,Truck,12500,SCANIA,General Cartage,
0,08-Jul-13,07-Jul-14,1,1202,300000,4076.15,5000019697,2000,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,300000,4075.9,5000019697,2000,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,300000,3647.522,5000019697,2000,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,300000,183.13,5000019697,2000,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
1,26-Jan-14,25-Jan-15,85,1201,220000,1857.27,5000019613,1985,4,,Automobile,1295,TOYOTA,Private,
1,26-Jan-13,25-Jan-14,85,1201,130000,1668.86,5000019613,1985,4,,Automobile,1295,TOYOTA,Private,
1,26-Jan-12,25-Jan-13,85,1201,130000,1770.6,5000019613,1985,4,,Automobile,1295,TOYOTA,Private,
1,16-Nov-11,25-Jan-12,85,1201,130000,384.686,5000019613,1985,4,,Automobile,1295,TOYOTA,Private,
0,01-Jan-14,31-Dec-14,11,1201,752869.57,13698.48,5000019637,2006,10,,Station Wagones,4164,TOYOTA,Private,16687.06
0,01-Jan-13,31-Dec-13,11,1201,1100000,19572.7,5000019637,2006,10,,Station Wagones,4164,TOYOTA,Private,
0,01-Jan-12,31-Dec-12,11,1201,1100000,16780.54,5000019637,2006,10,,Station Wagones,4164,TOYOTA,Private,
0,01-Jan-12,31-Dec-12,89,1201,1100000,19062.529,5000019637,2006,10,,Station Wagones,4164,TOYOTA,Private,
2,26-Jan-12,25-Jan-13,87,1201,210000,2558.73,5000019788,2006,4,,Automobile,1299,TOYOTA,Private,
2,04-Oct-11,25-Jan-12,87,1201,210000,201.789,5000019788,2006,4,,Automobile,1299,TOYOTA,Private,
2,26-Jan-14,25-Jan-15,22,1201,130000,1716.12,5000019808,1985,4,,Automobile,1285,TOYOTA,Private,
2,26-Jan-13,25-Jan-14,22,1201,130000,1799.63,5000019808,1985,4,,Automobile,1285,TOYOTA,Private,
2,26-Jan-12,25-Jan-13,22,1201,130000,1668.14,5000019808,1985,4,,Automobile,1285,TOYOTA,Private,
0,08-Jul-13,07-Jul-14,1,1202,1000000,14459.85,5000019816,2000,1,42000,Tanker,12500,IVECO,Own Goods,2645
0,08-Jul-12,07-Jul-13,1,1202,1000000,14459.6,5000019816,2000,1,42000,Tanker,12500,IVECO,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,1000000,16210.829,5000019816,2000,1,42000,Tanker,12500,IVECO,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,1000000,610.44,5000019816,2000,1,42000,Tanker,12500,IVECO,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,1000000,14459.85,5000019829,2000,1,42000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,1000000,14459.6,5000019829,2000,1,42000,Tanker,13500,IVECO,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,1000000,12667.529,5000019829,2000,1,42000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,1000000,610.44,5000019829,2000,1,42000,Tanker,13500,IVECO,Own Goods,
2,26-Jan-14,25-Jan-15,70,1201,180000,1426.25,5000019831,1983,4,,Automobile,1395,TOYOTA,Private,
2,26-Jan-13,25-Jan-14,70,1201,180000,1426.25,5000019831,1983,4,,Automobile,1395,TOYOTA,Private,
2,26-Jan-12,25-Jan-13,70,1201,180000,1206.25,5000019831,1983,4,,Automobile,1395,TOYOTA,Private,
0,08-Jul-13,07-Jul-14,1,1202,1000000,14459.85,5000019837,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,1000000,14459.6,5000019837,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,1000000,12667.529,5000019837,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,1000000,610.44,5000019837,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,1000000,14459.85,5000019838,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,1000000,14459.6,5000019838,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,1000000,12667.529,5000019838,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,1000000,610.44,5000019838,1999,1,20000,Tanker,13500,IVECO,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,300000,4076.15,5000019227,1999,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,300000,4075.9,5000019227,1999,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,300000,3647.522,5000019227,1999,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,300000,183.13,5000019227,1999,0,22000,Trailers and semitrailers,0,CALABRESE,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,1000000,14745.85,5000019852,1999,1,400,Truck,12500,IVECO,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,1000000,14745.6,5000019852,1999,1,400,Truck,12500,IVECO,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,1000000,12839.91,5000019852,1999,1,400,Truck,12500,IVECO,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,1000000,610.44,5000019852,1999,1,400,Truck,12500,IVECO,Own Goods,
2,01-Feb-14,25-Jan-15,8,1201,200000,2154.024,5000021707,1990,4,,Automobile,1587,TOYOTA,Private,
2,26-Jan-13,25-Jan-14,8,1201,140000,1860.83,5000021707,1990,4,,Automobile,1587,TOYOTA,Private,
2,26-Jan-12,25-Jan-13,8,1201,140000,1882.54,5000021707,1990,4,,Automobile,1587,TOYOTA,Private,
2,22-Nov-11,25-Jan-12,8,1201,140000,392.025,5000021707,1990,4,,Automobile,1587,TOYOTA,Private,
1,04-Oct-11,25-Jan-12,42,1201,70000,201.789,5000021719,1998,4,,Automobile,1998,DAEWOO,Private,
0,08-Jul-12,07-Jul-13,11,1202,50000,1222.69,5000021739,1992,0,141,Trailers and semitrailers,5600,FARID,General Cartage,
0,08-Jul-11,07-Jul-12,11,1202,50000,1437.551,5000021739,1992,0,141,Trailers and semitrailers,5600,FARID,General Cartage,
0,08-Jul-13,07-Jul-14,1,1202,311040,5379.7,5000021740,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,311040,5379.45,5000021740,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,311040,6216.73,5000021740,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,311040,189.87,5000021740,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
2,09-Jan-14,08-Jan-15,14,1202,1600000,37517.7,5000021741,2013,2,0,Truck,8226,ISUZU,General Cartage,
1,26-Jan-14,25-Jan-15,50,1201,130000,1284.26,5000021742,1985,4,,Automobile,2000,MERCEDES,Private,
1,26-Jan-13,25-Jan-14,50,1201,130000,1284.26,5000021742,1985,4,,Automobile,2000,MERCEDES,Private,
1,26-Jan-12,25-Jan-13,50,1201,130000,1024.61,5000021742,1985,4,,Automobile,2000,MERCEDES,Private,
0,01-Jan-12,31-Dec-12,99,1202,65000,794.86,5000021754,2008,0,3,Motor-cycle,175,YAMAHA,Own Goods,
1,14-Nov-13,13-Nov-14,11,1201,0,541.95,5000021757,1986,4,,Automobile,1295,TOYOTA,Private,
1,12-Nov-12,11-Nov-13,11,1201,0,541.95,5000021757,1986,4,,Automobile,1295,TOYOTA,Private,
1,12-Nov-11,11-Nov-12,11,1201,0,541.7,5000021757,1986,4,,Automobile,1295,TOYOTA,Private,
2,26-Jan-14,25-Jan-15,42,1201,250000,2606.85,5000021767,1992,4,,Automobile,1590,SUZUKI,Private,
2,29-Mar-13,25-Jan-14,42,1201,250000,2288.659,5000021767,1992,4,,Automobile,1590,SUZUKI,Private,
2,26-Jan-12,25-Jan-13,42,1201,150000,2900.88,5000021767,1992,4,,Automobile,1590,SUZUKI,Private,
2,04-Oct-11,25-Jan-12,42,1201,150000,201.789,5000021767,1992,4,,Automobile,1590,SUZUKI,Private,
0,08-Jul-13,07-Jul-14,1,1202,248834,4448.7,5000021899,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,248834,4448.45,5000021899,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,248834,5179.7,5000021899,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,248834,151.9,5000021899,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,248834,4448.7,5000021901,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,248834,4448.45,5000021901,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,248834,5179.7,5000021901,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,248834,151.9,5000021901,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-13,07-Jul-14,1,1202,248834,4448.7,5000021920,2000,0,400,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,248834,4448.45,5000021920,2000,0,400,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,07-Aug-11,07-Jul-12,1,1202,248834,4149.94,5000021920,2000,0,400,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-11,06-Aug-11,1,1202,248834,151.9,5000021920,2000,0,400,Trailers and semitrailers,0,CALABRASE,Own Goods,
1,21-Apr-13,20-Apr-14,3,1201,100000,1882.95,5000021380,1985,4,,Automobile,1295,TOYOTA,Private,
1,21-Apr-12,20-Apr-13,3,1201,75000,1293.4,5000021380,1985,4,,Automobile,1295,TOYOTA,Private,
1,04-Jan-12,20-Apr-12,3,1201,75000,200.337,5000021380,1985,4,,Automobile,1295,TOYOTA,Private,
2,23-Apr-13,22-Apr-14,6,1201,1322438.81,11214.27,5000021397,2006,4,,Automobile,1998,MERCEDES,Private,
2,23-Apr-12,22-Apr-13,6,1201,1322438.81,11884.99,5000021397,2006,4,,Automobile,1998,MERCEDES,Private,
1,17-Apr-14,16-Apr-15,8,1202,365000,16377.24,5000021418,2004,24,0,Bus,4334,ISUZU,Fare Paying Passengers,
1,17-Apr-13,16-Apr-14,8,1202,365000,17520.05,5000021418,2004,24,0,Bus,4334,ISUZU,Fare Paying Passengers,
1,17-Apr-12,16-Apr-13,8,1202,365000,13318.65,5000021418,2004,24,0,Bus,4334,ISUZU,Fare Paying Passengers,1700
1,04-Dec-11,16-Apr-12,8,1202,365000,1273.096,5000021418,2004,24,0,Bus,4334,ISUZU,Fare Paying Passengers,51429.46
0,08-Jul-13,07-Jul-14,1,1202,248834,4448.7,5000021780,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
0,08-Jul-12,07-Jul-13,1,1202,248834,4448.45,5000021780,2000,0,240,Trailers and semitrailers,0,CALABRASE,Own Goods,
